Event.Date,Location,Country,Airport.Code,Total.Fatal.Injuries
,,,,
12/31/2019,"OLATHE, KS",United States,OJC,2
,,,,
,,,,
,,,,
12/28/2019,"LAFAYETTE, LA",United States,LFT,5
12/25/2019,"Headland, AL",United States,0J6,1
,,,,
,,,,
,,,,
12/21/2019,"Evansville, IN",United States,EVV,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
12/1/2019,"San Antonio, TX",United States,SAT,3
,,,,
11/30/2019,"Chamberlain, SD",United States,9V9,9
,,,,
,,,,
,,,,
11/26/2019,"North Las Vegas, NV",United States,VGT,3
,,,,
,,,,
,,,,
11/24/2019,"Milton, FL",United States,2R4,1
,,,,
,,,,
,,,,
,,,,
11/22/2019,"Jackpot, NV",United States,KPT,2
,,,,
11/20/2019,"San Marcos, TX",United States,KHYI,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/7/2019,"Upland, CA",United States,CCB,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/4/2019,"New Bedford, MA",United States,EWB,1
11/4/2019,"Cedartown, GA",United States,4A4,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11/1/2019,"Stuart, FL",United States,SUA,1
,,,,
10/31/2019,"Brawley, CA",United States,BWC,2
,,,,
10/31/2019,"Paducah, KY",United States,PAH,1
,,,,
10/31/2019,"Ocala, FL",United States,OCF,2
,,,,
,,,,
,,,,
10/30/2019,"Atlanta, GA",United States,PDK,2
,,,,
10/29/2019,"Gecitkale, Turkey",Turkey,LCGK,2
10/29/2019,"Colonia, NJ",United States,LDJ,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/24/2019,"Shelter Cove, CA",United States,0Q5,2
,,,,
,,,,
,,,,
,,,,
10/23/2019,"Las Vegas, NV",United States,VGT,2
,,,,
,,,,
10/23/2019,"Hebbronville, TX",United States,N/A,2
10/23/2019,"Hebbronville, TX",United States,N/A,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10/20/2019,"Angel Fire, NM",United States,AXX,2
,,,,
,,,,
,,,,
10/20/2019,"Raleigh, NC",United States,RDU,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
